Model,Test,Few(n),n,Prompt,r,s,ex_selector,bleu,sari_add,sari_keep,sari_del,sari,fkgl,pbert_ref,rbert_ref,F1_bert_ref,pbert_src,rbert_src,F1_bert_src,ppl_mean,ppl_std,LENS,LENS_std,intra_dist1,intra_dist2,inter_dist1,inter_dist2,c_ratio,splits,lev_sim,copies,adds,deletes,lex_complexity
flan-t5-large,asset-test,asset-valid,3,p2,1,723,random,74.7516,6.7309,59.8288,60.1412,42.2336,6.6949,82.7347,79.7748,80.1457,80.9513,69.6573,75.2178,133.8193,265.0335,62.7693,16.7566,91.0718,98.7642,39.7589,86.3972,0.818,1.2502,0.795,0.0557,0.1225,0.2835,8.4909
flan-t5-large,med-easi-test,med-easi-validation,3,p0,1,287,random,16.3678,1.7924,45.673,62.1578,36.5411,9.1795,44.0808,37.3215,40.5908,79.2588,61.6776,70.1671,137.3569,218.8137,55.5105,18.5465,92.7466,99.124,37.5668,86.0488,0.7938,1.0118,0.7581,0.1367,0.1212,0.3381,8.8704
flan-t5-large,med-easi-test,med-easi-validation,3,p0,1,489,random,19.0963,1.6747,49.9487,62.4383,38.0206,9.2883,45.3744,39.6281,42.4088,81.56,65.1509,73.0788,130.8856,150.095,55.2585,17.7459,92.8593,99.2324,37.174,85.8437,0.8196,1.0257,0.7783,0.1667,0.1094,0.3087,8.9227
flan-t5-large,med-easi-test,med-easi-validation,3,p0,1,723,random,16.2561,1.5066,44.9665,60.6957,35.7229,9.3192,42.1694,36.5513,39.2594,79.4717,62.9326,70.9465,143.5558,315.182,55.4569,17.4155,92.904,98.8542,37.4229,85.2783,0.7902,1.0212,0.7574,0.1133,0.108,0.3321,8.9247
flan-t5-large,med-easi-test,med-easi-validation,3,p1,1,287,random,17.8057,2.1179,46.2996,60.168,36.1952,9.0203,43.5035,38.5151,40.9136,78.657,64.2803,71.2685,146.3029,216.9241,54.4557,17.4642,91.5748,98.999,35.7655,84.6572,0.8257,1.1163,0.7801,0.1033,0.1379,0.3165,8.9343
flan-t5-large,med-easi-test,med-easi-validation,3,p1,1,489,random,17.2656,1.8403,44.8167,58.6972,35.118,9.0146,41.8439,37.47,39.5539,77.2537,63.2249,70.0469,146.366,246.3637,53.6618,17.8363,91.3153,98.7704,35.7884,85.5954,0.8157,1.1301,0.7694,0.1067,0.1531,0.3297,8.9844
flan-t5-large,med-easi-test,med-easi-validation,3,p1,1,723,random,16.5257,1.7123,44.8033,60.6002,35.7053,8.8768,42.3146,37.297,39.7274,77.5424,62.113,69.6474,149.714,209.3567,54.0778,17.8745,91.9606,99.1075,36.0927,85.3707,0.7997,1.115,0.7606,0.06,0.135,0.3402,8.8807
flan-t5-large,med-easi-test,med-easi-validation,3,p2,1,287,random,18.1357,2.6205,45.1038,57.6043,35.1095,8.6201,41.9286,40.234,41.0037,79.2534,68.8927,73.9737,144.6716,233.7555,51.8793,18.3904,89.7418,98.834,35.1165,84.126,0.8654,1.2056,0.795,0.1133,0.1598,0.282,8.9073
flan-t5-large,med-easi-test,med-easi-validation,3,p2,1,489,random,18.989,2.1729,47.9101,60.5536,36.8789,8.8138,42.4828,41.4471,41.9117,79.0559,69.259,74.0448,537.0835,7116.1543,53.8966,17.5149,89.868,98.8239,34.5944,83.9784,0.8951,1.1923,0.7905,0.07,0.1632,0.2748,8.9766
flan-t5-large,med-easi-test,med-easi-validation,3,p2,1,723,random,17.5567,1.9842,45.071,58.3978,35.151,8.6631,42.2068,39.9617,41.0283,78.9985,67.8611,73.3206,146.803,299.1829,51.9968,18.5894,90.2521,98.6995,34.9347,83.8552,0.8611,1.2137,0.7857,0.07,0.1578,0.2936,8.961
